County,Market Name,Market Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference_1
Chautauqua,Fredonia WINTER Farmers' Market,321 East Main St. (Rt 20) Masonic Lodge,321 East Main St. (Rte 20),Fredonia,NY,14063,Thomas Degolier,7166802104,http://www.fredoniafarmersmarket.org,Sat 10am-1pm,November 1-May 17,M/X/W/P,N,Y,Y,Y,42.44764,-79.315,POINT (-79.315 42.44764)
Chautauqua,Jamestown Mobile Market-Chautaqua Center,107 Institute St.,107 Institute Street,Jamestown,NY,14701,Nick Weith,7164836405,http://jtownpublicmarket.org,Wed 3:30pm-5:30pm,Year-round,YR,Y,Y,N,Y,42.09308,-79.23505,POINT (-79.23505 42.09308)
Chautauqua,Jamestown Mobile Market-Code Building,411 Windsor St,411 Windsor Street,Jamestown,NY,14701,Nick Weith,7164836405,,Thu 3:30pm-5:30pm,Year-round,YR,Y,Y,N,Y,42.10095,-79.23136,POINT (-79.23136 42.10095)
Chautauqua,Jamestown Mobile Market-Prendergast Library,509 Cherry St.,509 Cherry Street,Jamestown,NY,14701,Nick Weith,7164836405,http://jtownpublicmarket.org,Wed 11am-1pm,Year-round,YR,Y,Y,N,Y,42.09831,-79.24361,POINT (-79.24361 42.09831)
Chautauqua,Jamestown Mobile Market-Silver Tree Seniors,8 Crane St.,9 Crane Street,Jamestown,NY,14701,Nick Weith,7164836405,http://jtownpublicmarket.org,Thu 11am-1pm,Year-round,YR,Y,Y,N,Y,42.09627,-79.23317,POINT (-79.23317 42.09627)
Chautauqua,Jamestown Mobile Market-The Resource Center,880 E 2nd St,880 East 2nd Street,Jamestown,NY,14701,Nick Weith,7164836405,,Tue 11am-1pm,Year-round,YR,Y,Y,N,Y,42.10486,-79.22483,POINT (-79.22483 42.10486)
Chautauqua,Jamestown Winter Farmers' Market,410 N. Main St.,410 N. Main St.,Jamestown,NY,14802,Nick Weith,7164836405,http://jfmny.org,"Monthly, Sat 9am-1pm","Jan 18, Feb 22, Mar 22, Apr 19",W/P,N,Y,Y,Y,42.09735,-79.24151,POINT (-79.24151 42.09735)
Chenango,Chenango County Farmers' Market,East Park 2 North Broad Street,2 North Broad Street,Norwich,NY,13815,Sandy Pierce,6073344928,,Wed 10am-2pm,April 2-December 3,P/M/X,Y,N,N,Y,42.53145,-75.52372,POINT (-75.52372 42.53145)
Chenango,Greene Pasture Ranch Farm Stand,13 South Canal St,13 South Canal Street,Greene,NY,13778,Victoria Pezzino,6078750634,http://www.greenepastureranch.com,"Mon-Fri 11am-6pm, Sat 9am-3pm",Year-round,YR,Y,Y,N,Y,42.32818,-75.77265,POINT (-75.77265 42.32818)
Chenango,Lamb's Quarters Organic Farm Stand,213 Pierce Rd Plymouth,213 Pierce Road,Plymouth,NY,13832,Sandy Pierce,6073344928,http://www.lambsquarterorganicfarm.com,"Daily 12pm-6pm, Closed Wed & Sat",Year-round,YR,Y,N,N,Y,42.60058,-75.59991,POINT (-75.59991 42.60058)
Chenango,Sunrise Farms Farm Stand,252 Plymouth-North Norwich Rd Plymouth,252 Plymouth-North Norwich Rd.,Plymouth,NY,13832,Kathryn Clemens,6073365834,,"Mon-Sat 9am-5pm, Sun 12pm-5pm",Year-round,YR,Y,N,N,Y,42.62427,-75.59152,POINT (-75.59152 42.62427)
Clinton,Northern Orchard Farm Stand,470 Union Rd Peru,470 Union Road,Peru,NY,12972,Jenna Mulbury,5186439806,http://www.northernorchard.com,Daily 10am-5pm,May 10-December 23,P/M/X,Y,Y,N,Y,44.5569,-73.53324,POINT (-73.53324 44.5569)
Clinton,Rulfs Orchard Farm Stand,531 Bear Swamp Rd Peru,531 Bear Swamp Road,Peru,NY,12972,Shannon Wilkins,5186438636,http://www.rulfsorchard.com,Daily 6am-6pm,Year-round,YR,Y,N,N,Y,44.5786,-73.49804,POINT (-73.49804 44.5786)
Columbia,Hudson Winter Farmers Market,"201 Harry Howard Ave, Elks Lodge #787",201 Harry Howard Ave,Hudson,NY,12534,Brandon Bjerke,5183003496,https://www.hudsonfarmersmarketny.org/,10am-1pm,"Nov 30-April 12, 2025",X/W/P,N,Y,Y,Y,42.25828,-73.77341,POINT (-73.77341 42.25828)
Delaware,Delhi Winter Farmers' Market,Indoor 4 Page Ave,4 Page Avenue,Delhi,NY,13752,Meg Kennedy,6074342407,,Wed 10am-2pm,November-April,M/X/W/P,N,N,N,Y,42.27897,-74.91247,POINT (-74.91247 42.27897)
Dutchess,Beacon Farmers' Market,223 Main St,223 main street DMV lot,Beacon,NY,12508,Amy Bandolik,9175754967,http://www.beaconfarmersmarket.org,Sun 10am-2pm,Year-round,YR,Y,Y,Y,Y,41.50402,-73.96823,POINT (-73.96823 41.50402)
Dutchess,Millerton Farmers' Market,"6 Dutchess Ave , Millerton Methodist Church",6 Dutchess Ave.,Millerton,NY,12546,Kim Henrichs,5187894259,https://www.neccmillerton.org/farmers-market,Sat 10am-2pm,May 18-December 27,P/M/X,Y,Y,N,Y,41.9543,-73.50977,POINT (-73.50977 41.9543)
Dutchess,Obercreek Farm Stand,81 New Hamburg Rd Wappingers Falls,87 New Hamburg Road,Wappingers Falls,NY,12590,Nina Doig,8452189262,http://www.obercreekfarm.com,"Wed-Sat 11am-6pm, Sun 12pm-5pm",Year-round,YR,Y,N,N,Y,41.58384,-73.93469,POINT (-73.93469 41.58384)
Dutchess,Rhinebeck Farmers' Market,Municipal lot 61 E Market St,61 East Market St,Rhinebeck,NY,12572,Andrea Bartolomeo,5188211481,http://www.rhinebeckfarmersmarket.com,Sun 10am-2pm,May 4-December 28,P/M/X,Y,Y,Y,Y,41.92704,-73.91027,POINT (-73.91027 41.92704)
Erie,Clinton Bailey Mon Farmers' Market,1517 Clinton St Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,Mon 8am-5pm,May 6-October 28,YR,Y,N,N,Y,42.87206,-78.81997,POINT (-78.81997 42.87206)
Erie,Clinton Bailey Sat Farmers' Market,1517 Clinton St Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,"Sat 4am-5pm, Winter: 6am-12pm",Year-round,YR,Y,N,N,Y,42.87205,-78.81998,POINT (-78.81998 42.87205)
Erie,MAP Mobile Market-Buffalo Adult Education,160 Edward St Buffalo,389 Virginia St.,Buffalo,NY,14201,Gabriel Montone,7168825327,http://www.mass-ave.org/shop,Thu 10am-12pm,June 6-October 31,W/P/M/X,Y,Y,N,Y,42.89682,-78.87764,POINT (-78.87764 42.89682)
Erie,Urbanowicz Acres Farm Stand,1417 Eden Evans Ctr Rd,1417 Eden Evans Ctr Rd,Angola,NY,14006,Elaine Urbanowicz,7169843453,http://www.urbanowiczacres.com,"Mon-Sat 11am-6pm, Sun 11am-4pm",Year-round,YR,Y,Y,N,Y,42.65224,-79.00035,POINT (-79.00035 42.65224)
Greene,Black Horse Farms Farm Stand,10094 Route 9W Athens,10094 Rte 9W,Athens,NY,12015,Chellie Apa,5187318776,http://www.blackhorsefarms.com,Mon-Sun 9am-6pm,Year-round,YR,Y,Y,N,Y,42.30634,-73.85043,POINT (-73.85043 42.30634)
Greene,Fromer Market Gardens Farm Stand,6120 Main St Tannersville,6120 Main Street,Tannersville,NY,12485,Samantha Metz,8622001935,http://www.fromermarketgardens.com,Wed 2pm-6pm Sat 9am-2pm,Year-round,YR,Y,N,N,Y,42.19546,-74.13889,POINT (-74.13889 42.19546)
Herkimer,Hoof N Paws Farm Stand,5046 State Route 28 Newport,5046 State Route 28,Newport,NY,13416,Richard Souza,3157176101,,"Mon-Sat 9am-5pm, Sun 11am-5pm",Year-round,YR,Y,N,N,Y,43.15003,-74.97728,POINT (-74.97728 43.15003)
Herkimer,Northshire Farm Farm Stand,1067 US Highway 20 West Winfield,1067 US Highway 20,West Winfield,NY,13491,S. James Grillo,3157256226,http://www.northshirefarmstore.com,Daily 8am-8pm,Year-round,YR,Y,N,N,Y,42.89471,-75.14503,POINT (-75.14503 42.89471)
Jefferson,Rustling Grass Farm,26474 Keyser Rd Evans Mills,26474 Keyser Road,Evans Mills,NY,13637,Mary Smith,3344640452,,Mon-Sat 6am-2pm,Year-round,YR,Y,N,N,Y,44.11048,-75.84255,POINT (-75.84255 44.11048)
Kings,7th Ave. Sunset Park Greenmarket,7th Ave & 44th St,602 44th Street,Brooklyn,NY,11220,Daniel Olavarria,6469835633,http://www.grownyc.org/greenmarket,Sat 8:30am-2pm,Year-round,YR,Y,Y,N,Y,40.64693,-74.00447,POINT (-74.00447 40.64693)
Kings,Bartel-Pritchard Square Sun Greenmarket,Prospect Park West @ 15th St,205 Prospect Park West,Brooklyn,NY,11215,Daniel Olavarria,6469835633,http://www.grownyc.org/greenmarket,Sun 9am-2pm,May 4-December 28,P/M/X,Y,Y,N,Y,40.66055,-73.97984,POINT (-73.97984 40.66055)
Kings,Bartel-Pritchard Square Wed Greenmarket,Prospect Park West @ 15th St,205 Prospect Park West,Brooklyn,NY,11215,Daniel Olavarria,6469835633,http://www.grownyc.org/greenmarket,Wed 8am-2pm,Year-round,YR,Y,Y,N,Y,40.66055,-73.97984,POINT (-73.97984 40.66055)
Kings,Brooklyn Borough Hall Saturday Greenmarket,Montague St & Court St,211 Montague Street,Brooklyn,NY,11201,Daniel Olavarria,6469835633,http://www.grownyc.org/greenmarket,Sat 8am-3pm,Year-round,YR,Y,Y,N,Y,40.69416,-73.99076,POINT (-73.99076 40.69416)
Kings,Brooklyn Borough Hall Tuesday Greenmarket,Montague St & Court St,211 Montague Street,Brooklyn,NY,11201,Daniel Olavarria,6469835633,http://www.grownyc.org/greenmarket/brooklyn/boro-hall-sa,Tue 8am-3pm,Year-round,YR,Y,Y,N,Y,40.69416,-73.99076,POINT (-73.99076 40.69416)
Kings,Carroll Gardens Greenmarket,Smith St & Carroll St Brooklyn,330 Smith Street,Brooklyn,NY,11231,Daniel Olavarria,6469835633,http://www.grownyc.org/greenmarket/brooklyn/carroll-gardens,Sun 8am-2pm,Year-round,YR,Y,Y,N,Y,40.68036,-73.99536,POINT (-73.99536 40.68036)
Kings,Cortelyou Greenmarket,Cortelyou btwn Rugby & Argyle,1305 Cortelyou Road,Brooklyn,NY,11226,Daniel Olavarria,6469835633,https://www.grownyc.org/farmstands,Sun 8am-2pm,Year-round,YR,Y,Y,N,Y,40.64071,-73.9659,POINT (-73.9659 40.64071)
Kings,Fort Greene Greenmarket,Washington Park & Dekalb,209 Washington Park,Brooklyn,NY,11205,Daniel Olavarria,6469835633,http://www.grownyc.org/greenmarket/brooklyn/fort-greene,Sat 8am-3pm,Year-round,YR,Y,Y,N,Y,40.68975,-73.97299,POINT (-73.97299 40.68975)
Kings,Grand Army Plaza Greenmarket,Prospect Park West & Flatbush Ave Brooklyn,1 Prospect Park,Brooklyn,NY,11238,Daniel Olavarria,6469835633,http://www.grownyc.org/greenmarket/brooklyn-grand-army-plaza,Sat 8am-4pm,Year-round,YR,Y,Y,N,Y,40.66062,-73.97943,POINT (-73.97943 40.66062)
Kings,McCarren Park Greenmarket,N 12th St & Union Ave,228 North 12th Street,Brooklyn,NY,11222,Daniel Olavarria,6469835633,http://www.grownyc.org/greenmarket/brooklyn/greenpoint-sa,Sat 8am-3pm,Year-round,YR,Y,Y,N,Y,40.71945,-73.95312,POINT (-73.95312 40.71945)
Kings,McGolrick Park Farmers' Market,130 Russell St. Brooklyn (Center Pavillion),130 Russell Street,Brooklyn,NY,11222,Michael Steigman,9149234837,http://www.downtoearthmarkets.com,Sun 9am-2pm,January 5-December 21,YR,Y,Y,N,Y,40.72483,-73.94432,POINT (-73.94432 40.72483)
Kings,Park Slope Farmers' Market,298 4th St Brooklyn (at 5th Ave),298 4th Street,Brooklyn,NY,11215,Michael Steigman,9149234837,http://www.downtoearthmarkets.com,Sun 9am-2pm,January 5-December 21,YR,Y,Y,N,Y,40.6722,-73.98379,POINT (-73.98379 40.6722)
Kings,PS 178 Farm Stand,2163 Dean St Brooklyn,2163 Dean Street,Brooklyn,NY,11233,Pamela Harris,9175922719,,Wed 12pm-3pm,Year-round,YR,Y,N,N,Y,40.67514,-73.91535,POINT (-73.91535 40.67514)
Kings,Seeds in the Middle Farm Stand-Brownsville PS 184,273 Newport Rd Brooklyn,273 Newport Rd,Brooklyn,NY,11212,Nancie Katz,9176973745,http://seedsinthemiddle.org,Wed 2:30pm-4:30pm,April 3-November 15,YR,N,Y,N,Y,40.65959,-73.90698,POINT (-73.90698 40.65959)
Livingston,Curbside Market-ABC Head Start,251 Joseph Ave Rochester,251 Joseph Ave,Rochester,NY,14605,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Fri 2:15-3pm,Year-round,YR,N,N,N,Y,43.16828,-77.60817,POINT (-77.60817 43.16828)
Monroe,Brightly's Farm Market,525 Drake Rd Hamlin,525 Drake Rd.,Hamlin,NY,14464,Betsy Brightly,5856364337,http://www.brightlyfarms.com,Mon-Sat 9am-5pm,Year-round,YR,Y,N,N,Y,43.29471,-77.94344,POINT (-77.94344 43.29471)
Monroe,Brighton WINTER Farmers' Market,1435 Westfall Rd Rochester,1150 Winton Rd South,Rochester,NY,14618,Sue Gardner-Smith,5852698918,http://www.brightonfarmersmarket.org,Sun 10am-1pm,January 5-April 13,M/X/P,N,Y,Y,Y,43.11275,-77.56809,POINT (-77.56809 43.11275)
Monroe,Curbside Market-Andrews Terrace,125 St. Paul St Rochester,125 Saint Paul Street,Rochester,NY,14604,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Wed 2pm-3pm,Year-round,YR,Y,Y,N,Y,43.15872,-77.61047,POINT (-77.61047 43.15872)
Monroe,Curbside Market-Beechwood Neighborhood,441 Parsells Ave Rochester,441 Parsells Ave,Rochester,NY,14609,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Fri 11:45am-12:30pm,Year-round,YR,Y,Y,N,Y,43.1658,-77.56665,POINT (-77.56665 43.1658)
Monroe,Curbside Market-Carriage Factory Apts,33 Litchfield St Rochester,33 Litchfield Street,Rochester,NY,14608,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Tue 2pm-3pm,Year-round,YR,Y,Y,N,Y,43.15396,-77.62575,POINT (-77.62575 43.15396)
Monroe,Curbside Market-Cedar Hill Terrace,46 Cedar Terrace Hilton,46 Cedar Terrace,Hilton,NY,14468,Matthew Reifsteck,5854134057,http://foodlinkny.org,Thu 12pm-12:30pm,Year-round,YR,Y,Y,N,Y,43.28254,-77.78845,POINT (-77.78845 43.28254)
Monroe,Curbside Market-Charlotte Harbortown (Lake Ave),4575 Lake Ave Rochester,4575 Lake Avenue,Rochester,NY,14612,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Fri 2:15pm-3:15pm,Year-round,YR,Y,Y,N,Y,43.25492,-77.61411,POINT (-77.61411 43.25492)
Monroe,Curbside Market-Charlotte Harbortown (River St),60 River St Rochester,60 River Street,Rochester,NY,14612,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Fri 3:30pm-4:30pm,Year-round,YR,Y,Y,N,Y,43.2444,-77.61607,POINT (-77.61607 43.2444)
Monroe,Curbside Market-Cornerstone Pointe,3 GBC Parkway Greece,3 GBC Parkway,Greece,NY,14626,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Mon 1:30pm-2:15pm,Year-round,YR,Y,Y,N,Y,43.21335,-77.69366,POINT (-77.69366 43.21335)
Monroe,Curbside Market-Danforth Towers,140 West Ave Rochester,140 West Avenue,Rochester,NY,14611,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Wed 2pm-2:45pm,Year-round,YR,Y,Y,N,Y,43.15038,-77.64166,POINT (-77.64166 43.15038)
Monroe,Curbside Market-DePaul Ridgeview,109 Marburger St Rochester,109 Marburger Street,Rochester,NY,14621,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Wed 4pm-4:30pm,Year-round,YR,Y,Y,N,Y,43.19375,-77.6078,POINT (-77.6078 43.19375)
Monroe,Curbside Market-DHS Westfall,111 Westfall Rd. Rochester,111 Westfall Rd.,Rochester,NY,14620,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Thu 10:30am-11:15am,Year-round,YR,Y,Y,N,Y,43.11451,-77.61886,POINT (-77.61886 43.11451)
Monroe,Curbside Market-Dunn Towers,100 Dunn Tower Dr Rochester,100 Dunn Tower Drive,Rochester,NY,14606,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Thu 10:30am-11:30am,Year-round,YR,Y,Y,N,Y,43.16924,-77.69727,POINT (-77.69727 43.16924)
Monroe,Curbside Market-Durand Senior Apts,4250 Culver Rd Rochester,4250 Culver Rd,Rochester,NY,14622,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Fri 10:15am-11:15am,Year-round,YR,Y,Y,N,Y,43.22598,-77.54736,POINT (-77.54736 43.22598)
Monroe,Curbside Market-Edna Craven Estates,625 Clifford Ave,625 Clifford Ave,Rochester,NY,14621,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Sat 12:15pm-1pm,Year-round,YR,N,N,N,Y,43.17494,-77.60725,POINT (-77.60725 43.17494)
Monroe,Curbside Market-Ellison Park Apts,44 Bobrich Drive Rochester,44 Bobrich Drive,Rochester,NY,14610,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Sat 11am-12pm,Year-round,YR,Y,Y,N,Y,43.14917,-77.5466,POINT (-77.5466 43.14917)
Monroe,Curbside Market-EL Towers,500 South Ave Rochester,500 South Ave,Rochester,NY,14620,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Tue 3:30pm-4:15pm,Year-round,YR,Y,Y,N,Y,43.1465,-77.60524,POINT (-77.60524 43.1465)
Monroe,Curbside Market-ESLC Rockwood Ctr,3833 E Henrietta Rd,3833 E Henrietta Rd,Henrietta,NY,14467,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Fri 10:30am-11:15am,Year-round,YR,Y,Y,N,Y,43.04649,-77.62499,POINT (-77.62499 43.04649)
Monroe,Curbside Market-Fairport Apartments,1030 Whitney Rd E Fairport,1030 Whitney Road E,Fairport,NY,14450,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Thu 10:30am-11:15am,Year-round,YR,Y,Y,N,Y,43.10913,-77.43938,POINT (-77.43938 43.10913)
Monroe,Curbside Market-FIGHT Village Apts,186 Ward St Rochester,186 Ward Street,Rochester,NY,14605,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Thu 2:15pm-3pm,Year-round,YR,Y,Y,N,Y,43.16564,-77.60815,POINT (-77.60815 43.16564)
Monroe,Curbside Market-Harris Park Apartments,122 Harris Park Rochester,122 Harris Park,Rochester,NY,14610,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Tue 3:45pm-4:30pm,Year-round,YR,N,N,N,Y,43.15131,-77.55331,POINT (-77.55331 43.15131)
Monroe,Curbside Market-Hudson Ridge Tower,401 Seneca Manor Dr Rochester,401 Seneca Manor Drive,Rochester,NY,14621,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Wed 2:45pm-3:45pm,Year-round,YR,Y,Y,N,Y,43.19309,-77.60324,POINT (-77.60324 43.19309)
Monroe,Curbside Market-Irondequoit Meadow Reserve,100 Hulda Park Rochester,100 Hulda Park,Rochester,NY,14609,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Tue 2:30pm-3:15pm,Year-round,YR,Y,Y,N,Y,43.19479,-77.56041,POINT (-77.56041 43.19479)
Monroe,Curbside Market-James Dobson Apts,150 Van Auker St Rochester,150 Van Auker Street,Rochester,NY,14608,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Sat 12:30pm-1:45pm,Year-round,YR,Y,Y,N,Y,43.14997,-77.62109,POINT (-77.62109 43.14997)
Monroe,Curbside Market-Keeler Apts,501 Seneca Manor Dr Rochester,501 Seneca Manor Dr.,Rochester,NY,14621,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Wed 2:30pm-4pm,Year-round,YR,Y,Y,N,Y,43.19395,-77.60168,POINT (-77.60168 43.19395)
Monroe,Curbside Market-Kennedy Towers,"666 S Plymouth Ave Rochester, Parking lot on Edith St",666 South Plymouth Ave,Rochester,NY,14608,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Mon 3:15pm-4pm,Year-round,YR,Y,Y,N,Y,43.14251,-77.61894,POINT (-77.61894 43.14251)
Monroe,Curbside Market-Lake Tower Apartments,321 Lake Ave Rochester (Parking lot),321 Lake Ave.,Rochester,NY,14608,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Tue 10:30am-11:30am,Year-round,YR,Y,Y,N,Y,43.17054,-77.62751,POINT (-77.62751 43.17054)
Monroe,Curbside Market-Lexington Ct Apts,6 Christopher St Rochester,6 Christopher St,Rochester,NY,14606,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Thu 3:30pm-4:15pm,Year-round,YR,Y,Y,N,Y,43.1791,-77.66474,POINT (-77.66474 43.1791)
Monroe,Curbside Market-LifeSpan Wolk Caf�,25 Franklin St Near Liberty Pole Way,25 Franklin Street,Rochester,NY,14604,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Mon 12:30pm-1:30pm,Year-round,YR,Y,Y,N,Y,43.15805,-77.60484,POINT (-77.60484 43.15805)
Monroe,Curbside Market-Long Pond Sr Housing,1 GBC Parkway Greece,1230 Long Pond Road,Rochester,NY,14626,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Mon 1pm-1:30pm,Year-round,YR,Y,Y,N,Y,43.2122,-77.69579,POINT (-77.69579 43.2122)
Monroe,Curbside Market-Manhattan Sq Family Medicine,454 E Broad St Rochester,454 E Broad St,Rochester,NY,14607,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Thu 2pm-3pm,Year-round,YR,Y,Y,N,Y,43.15531,-77.59957,POINT (-77.59957 43.15531)
Monroe,Curbside Market-Maplewood YMCA,25 Driving Park Ave Rochester,25 Driving Park Ave,Rochester,NY,14613,Matthew Reifsteck,5854134057,http://www.foodlinkny.org,Wed 12pm-12:45pm,Year-round,YR,Y,Y,N,Y,43.18092,-77.63017,POINT (-77.63017 43.18092)
Monroe,Curbside Market-Monarch Senior Living,975 Abigayle Way Webster,975 Abigayle Way,Webster,NY,14580,Matthew Reifsteck,5854134057,http://foodlinkny.org,Wed 12:15pm-1:15pm,Year-round,YR,N,N,N,Y,43.21799,-77.45824,POINT (-77.45824 43.21799)
Monroe,Curbside Market-New Life Fellowship,360 Wellington Ave,360 Wellington Ave,Rochester,NY,14619,Matthew Reifsteck,5854134057,http://foodlinkny.org,Wed 11:30am-12:15pm,Year-round,YR,Y,Y,N,Y,43.14139,-77.64044,POINT (-77.64044 43.14139)
